Size,Algo,Comparaisons
100000,MaxEtMinA,199998
100000,MaxEtMinB,149998
200000,MaxEtMinA,399998
200000,MaxEtMinB,299998
400000,MaxEtMinA,799998
400000,MaxEtMinB,599998
600000,MaxEtMinA,1199998
600000,MaxEtMinB,899998
800000,MaxEtMinA,1599998
800000,MaxEtMinB,1199998
1000000,MaxEtMinA,1999998
1000000,MaxEtMinB,1499998
1200000,MaxEtMinA,2399998
1200000,MaxEtMinB,1799998
1400000,MaxEtMinA,2799998
1400000,MaxEtMinB,2099998
1600000,MaxEtMinA,3199998
1600000,MaxEtMinB,2399998
1800000,MaxEtMinA,3599998
1800000,MaxEtMinB,2699998
2000000,MaxEtMinA,3999998
2000000,MaxEtMinB,2999998
4000000,MaxEtMinA,7999998
4000000,MaxEtMinB,5999998
5000000,MaxEtMinA,9999998
5000000,MaxEtMinB,7499998
6000000,MaxEtMinA,11999998
6000000,MaxEtMinB,8999998
7000000,MaxEtMinA,13999998
7000000,MaxEtMinB,10499998
8000000,MaxEtMinA,15999998
8000000,MaxEtMinB,11999998
